experiment_id,profile,evidence_tag,primary_path,control_path,model,quantization,kv_type,speculative_decode,workload,input_tokens,output_tokens,concurrency,statistic,n_repeats,measured_date,prefill_tok_s,decode_tok_s,prefill_control_tok_s,decode_control_tok_s,prefill_gain_vs_3080_pct,aggregate_prefill_tok_s,aggregate_decode_tok_s,e2e_output_tok_s,ttft_p95_s,batch_e2e_s,status,notes
27B-SPARK-01,confirmed-prefill,prefill-confirmed-8k,RTX3080+Spark,RTX3080-standalone,Qwen3.8-27B,Q4_K_M,q4_0,none,microbench-8192in-128out,8192,128,1,median-of-warm-repeats,3,2026-09-11,1603.20,17.62,1113.13,33.36,44.03,NA,NA,NA,NA,NA,measured,Highest Prefill confirmed profile after this search; not a global optimum; pair scores not 3080-only; no speculation
27B-SPARK-01,confirmed-prefill,prefill-live-8k,RTX3080+Spark,RTX3080-standalone,Qwen3.8-27B,Q4_K_M,q4_0,none,microbench-8192in-128out-live,8192,128,1,median-of-three-repeats,3,2026-09-11,1601.05,17.41,1113.13,33.36,NA,NA,NA,NA,NA,NA,measured,Later live retest of the same Prefill confirmed profile; do not quote 1700
27B-SPARK-01,confirmed-decode,decode-confirmed-2k,RTX3080+Spark,RTX3080-standalone,Qwen3.8-27B,Q4_K_M,q4_0,DFlash2,microbench-2048in-128out,2048,128,1,median-of-warm-repeats,3,2026-09-11,1153.95,63.97,1042.97,60.37,NA,NA,NA,NA,NA,NA,measured,Highest Decode confirmed profile after this search; DFlash2 on both sides with separately tuned speculation settings; 2K row not spliced with 8K
27B-SPARK-01,confirmed-decode,decode-confirmed-8k,RTX3080+Spark,RTX3080-standalone,Qwen3.8-27B,Q4_K_M,q4_0,DFlash2,microbench-8192in-128out,8192,128,1,median-of-warm-repeats,3,2026-09-11,1124.32,49.20,1015.15,58.36,NA,NA,NA,NA,NA,NA,measured,Same Decode confirmed profile as the 2K row; 8K pair Decode is not above this 3080 standalone; speculation settings differ
27B-SPARK-01,balanced,balanced-c1,RTX3080+Spark,NA,Qwen3.8-27B,Q4_K_M,q4_0,DFlash2,serve-8192in-256out,8192,256,1,median-of-official-rounds,3,2026-09-11,NA,NA,NA,NA,NA,1097.40,47.69,19.91,7.489,12.857,measured,Balanced six-slot serving; decode is whole-batch generation window including other-stream prefill; no standalone C1-C6 control
27B-SPARK-01,balanced,balanced-c2,RTX3080+Spark,NA,Qwen3.8-27B,Q4_K_M,q4_0,DFlash2,serve-8192in-256out,8192,256,2,median-of-official-rounds,3,2026-09-11,NA,NA,NA,NA,NA,1094.21,31.18,19.49,19.145,26.273,measured,Metric semantics as C1 row
27B-SPARK-01,balanced,balanced-c3,RTX3080+Spark,NA,Qwen3.8-27B,Q4_K_M,q4_0,DFlash2,serve-8192in-256out,8192,256,3,median-of-official-rounds,3,2026-09-11,NA,NA,NA,NA,NA,1089.37,28.04,20.47,28.990,37.524,measured,Metric semantics as C1 row
27B-SPARK-01,balanced,balanced-c4,RTX3080+Spark,NA,Qwen3.8-27B,Q4_K_M,q4_0,DFlash2,serve-8192in-256out,8192,256,4,median-of-official-rounds,3,2026-09-11,NA,NA,NA,NA,NA,1086.44,24.90,19.86,38.932,51.564,measured,Metric semantics as C1 row
27B-SPARK-01,balanced,balanced-c5,RTX3080+Spark,NA,Qwen3.8-27B,Q4_K_M,q4_0,DFlash2,serve-8192in-256out,8192,256,5,median-of-official-rounds,3,2026-09-11,NA,NA,NA,NA,NA,1087.57,24.77,20.53,48.471,62.336,measured,Metric semantics as C1 row
27B-SPARK-01,balanced,balanced-c6,RTX3080+Spark,NA,Qwen3.8-27B,Q4_K_M,q4_0,DFlash2,serve-8192in-256out,8192,256,6,median-of-official-rounds,3,2026-09-11,NA,NA,NA,NA,NA,1088.06,25.55,21.62,58.317,71.048,measured,Metric semantics as C1 row; 36 official waves and 126 official requests across two wave types
