release,experiment,revision,configuration,primary_path,control_path,model,quantization,kv_type,workload,concurrency,input_tokens,output_tokens,ttft_primary_ms,ttft_control_ms,token1_to_2_ms,prefill_primary_tok_s,prefill_control_tok_s,prefill_aggregate_primary_tok_s,prefill_aggregate_control_tok_s,decode_primary_tok_s,decode_control_tok_s,decode_aggregate_primary_tok_s,decode_aggregate_control_tok_s,e2e_aggregate_primary_tok_s,e2e_aggregate_control_tok_s,kv_migration_ms,acceptance_pct,ms_per_step,tokens_per_step,status,notes
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-1000in-128out,1,1000,128,NA,NA,NA,NA,NA,4017.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,MoE 35B-A3B; qwen35moe 40 layers; 10 full attention + 30 Gated DeltaNet; r337 dual-machine PD only; RTX 3080 is pure Prefill and AI Max+ 395 is pure Decode; scored matrix ctx 114688 on 3080 and ctx 655360 on 395; batch 4096 ubatch 4096; DFlash draft n_max 6 on the 395 Decode node; KV via /dev/shm/kvxo; 42/42 route=pd n_reuse=0; prefill_aggregate_primary_tok_s is 3080 pure Prefill; e2e_aggregate_primary_tok_s is intentionally NA because whole-stage wall clock is not pure Decode; short 395 pure-Decode rate not recorded; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-1000in-128out,2,1000,128,NA,NA,NA,NA,NA,3947.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,Metric semantics as C1 row; short 395 pure-Decode rate not recorded; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-1000in-128out,3,1000,128,NA,NA,NA,NA,NA,3924.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,Metric semantics as C1 row; short 395 pure-Decode rate not recorded; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-1000in-128out,4,1000,128,NA,NA,NA,NA,NA,3913.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,Metric semantics as C1 row; short 395 pure-Decode rate not recorded; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-1000in-128out,5,1000,128,NA,NA,NA,NA,NA,3906.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,Metric semantics as C1 row; short 395 pure-Decode rate not recorded; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-1000in-128out,6,1000,128,NA,NA,NA,NA,NA,3943.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,Metric semantics as C1 row; short 395 pure-Decode rate not recorded; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-100000in-128out,1,100000,128,NA,NA,NA,NA,NA,2895.53,NA,NA,NA,23.33,NA,NA,NA,NA,NA,NA,NA,measured,100K input / 128 output; r337 dual-machine PD only; RTX 3080 is pure Prefill and AI Max+ 395 is pure Decode; scored matrix ctx 114688 on 3080 and ctx 655360 on 395; six dFlash slots advanced to 100K before scored rows and warm-up excluded; prefill_aggregate_primary_tok_s is 3080 pure Prefill; decode_aggregate_primary_tok_s is 395 pure Decode; e2e_aggregate_primary_tok_s is intentionally NA because whole-stage wall clock is not pure Decode; 100K TTFT not recorded; 100K single-stream Decode not recorded; KV migration milliseconds not recorded; dFlash acceptance rate not recorded; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-100000in-128out,2,100000,128,NA,NA,NA,NA,NA,2826.07,NA,NA,NA,53.37,NA,NA,NA,NA,NA,NA,NA,measured,100K semantics as C1 row; warm-up excluded; missing metrics remain NA; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-100000in-128out,3,100000,128,NA,NA,NA,NA,NA,2796.34,NA,NA,NA,75.20,NA,NA,NA,NA,NA,NA,NA,measured,100K semantics as C1 row; warm-up excluded; missing metrics remain NA; MoE not directly comparable with 27B dense rows
2.11,35B-A3B,dual-pd-35a3b,hot-pd-matrix,RTX3080-prefill+395-Vulkan-decode,NA,Ornith-1.5-35B-A3B,IQ4_XS,NA,service-100000in-128out,4,100000,128,NA,NA,NA,NA,NA,2795.28,NA,NA,NA,103.33,NA,NA,NA,NA,NA,NA,NA,measured,100K semantics as C1 row; warm-up excluded; missing metrics remain NA; MoE not directly comparable with 27B dense rows
